KEY,EN,CN
LC_chapter_1_title,New Homeland,新的家园
LC_chapter_1_desc,"Our new homeland is on a group of islands which,  whilst beautiful,  are also full of uncertainty.  We must set up a base and establish ourselves here. ","美丽而又充满未知的岛屿将是我们新的家园, 我们需要建立基地站稳脚跟. "
LC_chapter_2_title,Elves,精灵
LC_chapter_2_desc,"First a dragon appeared,  and then an Elf.  It seemed they had stumbled upon us by chance,  maybe we can live in peace with these natives. ","龙出现了, 然后是精灵. 他们看起来没有敌意, 或许我们可以跟这群原住民和平相处. "
LC_chapter_3_title,Dwarves,矮人
LC_chapter_3_desc,"We discovered an altar forged out of rock and steel,  protected by a group of very small people.  Their leader was quite an interesting little fellow,  but also very stubborn.  ","我们发现了一座石材和钢铁铸成的祭坛, 一群矮小的家伙守护在那里. 为首的一个虽顽固但相当有趣. "
LC_chapter_4_title,The Big World,大世界
LC_chapter_4_desc,I guess it's time to explore the wolrd outside.  The islands are far more than I could see.  Maybe we are lucky to hit pay dirt. ,"也许是时候往外面的世界了, 这个岛远比我想象中大. 听说岛上有很多远古遗留至今的城市残骸, 或许能找到好东西. "
LC_chapter_5_title,Central City,中心城市
LC_chapter_5_desc,The ancient cities got their own characteristics.  Residents of edge's pay tributes to the Central City as a vital strategic area.  Why don't we take it first. ,"那些远古城市各有特色. 外围居民愿意上交贡品求得安宁, 中心城市则为战略要地, 我们何不先下手为强. "
LC_chapter_6_title,Mountain Pass,边境
LC_chapter_6_desc,"There are many of the survivors on the island!  Take the Mountain Pass to recruit Heroes from other states,  thus we can develop together. ","这硕大的岛上, 居然有那么多幸存者. 或许打通边境, 就可以与其他国的人共同发展, 招募更多强者. "
LC_chapter_7_title,The place of strategic importance,必争之地
LC_chapter_7_desc,"Alliances scrambling,  there's no peace in the world.  It's our time to end this turbulent days. ","有太多联盟相互争抢, 难以和平. 或许, 我们应该努力结束这乱世?"
LC_chapter_8_title,Hidden Darkness,隐藏的黑暗
LC_chapter_8_desc,We've gained steady progress since known of situation.  But I can sense the growing of darkness.  Devils are coming…,"自从接受现状, 我们稳步向前, 却让我觉得或许有一种阴谋正在蓄力, 恶魔要来了?"
LC_chapter_9_title,Greed and Chaos,贪婪与混乱
LC_chapter_9_desc,"We were told the resources are getting more and more near the center of the island.  But Devils had taken there.  Noting ventured,  nothing gained!  It's time to go and check it out! ","有人曾说, 越往岛中心区域走, 越能发现更多丰富的资源, 但已被恶魔占领. 富贵险中求, 或许是时候去一探究竟了. "
LC_chapter_10_title,Devils,恶魔
LC_chapter_10_desc,"There are Devil Princes and Devil Soldiers.  Fellows are racking minds to vanish them,  but I,  I want to recruit them on my side. ","终于知道恶魔也是有魔王和小兵之分. 伙伴们都在讨论怎么消灭他们, 我却在想象, 或许可以招募为己用. "
LC_chapter_11_desc,The War is coming. ,大战在即
LC_chapter_11_title,The situation is hard deal with as other alliancess' scramling around and Devils may come at any time.  We must be strong enough to survive. ,"情况越来越混乱, 前后有各个联盟危及, 还有恶魔随时可能加入战场. 这时, 只有实力够强, 才能站稳脚跟. "
LC_chapter_12_title,Dragons,龙族
LC_chapter_12_desc,"The nearer to the Forbidden Dragon District,  the more conflicts occur.  We're told the Dragon will guard the world,  but how can we gain their blessing?  It sees we can only unify the world under their helps. ","距离龙之禁区越来越近, 纷争就越来越密集. 传闻龙族维护世界和平, 怎么才能获得他们的眷顾?相信只有这样, 才能一统天下. "
LC_chapter_task_1_desc,Build an Army Camp,占领1块1级土地
LC_chapter_task_2_desc,Draft a Hero to lead your unit 1,提升任意英雄等级到2级
LC_chapter_task_3_desc,Occupy 1 lv. 1 tile,建造农场 1
LC_chapter_task_4_desc,Upgrade any Hero to level 2,新占领2块1级土地
LC_chapter_task_5_desc,Build Farm 1,建造食物仓库
LC_chapter_task_6_desc,Occupy 2 lv. 1 tiles,建造伐木场 1
LC_chapter_task_7_desc,Add 1 new Heroes to the Unit 1,建造木材仓库
LC_chapter_task_8_desc,,为部队1上阵1名新英雄
LC_chapter_task_9_desc,Build a Food Storehouse ,将指挥所升级至2级
LC_chapter_task_10_desc,Occupy 4 Lv. 1 tiles,建造部队集合点 2
LC_chapter_task_11_desc,Build Lumber Mill 1,为部队2上阵1名新英雄
LC_chapter_task_12_desc,Build a Lumber Yard ,新占领4块1级土地
LC_chapter_task_13_desc,Upgrade the Townhall to Lv.  2,将食物仓库升级至2级
LC_chapter_task_14_desc,Occupy 2 more Lv. 1 tiles,将木材仓库升级至2级
LC_chapter_task_15_desc,Upgrade any Hero to lv. 6,将任意部队集合点升级至2级
LC_chapter_task_16_desc,Build Steel Plant 1,建造炼钢厂 1
LC_chapter_task_17_desc,Build a Steel Yard,占领1块2级土地
LC_chapter_task_18_desc,Add 1 new Hero to the Unit 1,治疗英雄2次
LC_chapter_task_19_desc,Occupy 1 lv. 2 tile,将指挥所升级至3级
LC_chapter_task_20_desc,Heal for 1 times for the heroes,将部队集合点 1升级至3级
LC_chapter_task_21_desc,Build Army Camp 2,为部队1上阵1名新英雄
LC_chapter_task_22_desc,Add 2 new Heroes to the Unit 2,建造采石场 1
LC_chapter_task_23_desc,Occupy 3 lv. 2 tiles,建造石材仓库
LC_chapter_task_24_desc,Build Lumber Mill 2,提升任意英雄等级到11级
LC_chapter_task_25_desc,Build Farm 2,将伐木场 1升级至3级
LC_chapter_task_26_desc,Upgrade the Lumber Yard to Lv. 2 ,将炼钢厂 1升级至3级
LC_chapter_task_27_desc,Upgrade the Food Storehouse to Lv. 2,治疗英雄5次
LC_chapter_task_28_desc,Upgrade the Food Storehouse to Lv. 2,将农场 1升级至3级
LC_chapter_task_29_desc,Occupy 5 v. 2 tiles,将采石场 1升级至3级
LC_chapter_task_30_desc,Upgrade the Townhall to Lv.  3,将木材仓库升级至3级
LC_chapter_task_31_desc,Upgrade Army Camp 1 to Lv.  3,建造民房 1
LC_chapter_task_32_desc,Add a new Hero to the Unit 1,将食物仓库升级至3级
LC_chapter_task_33_desc,Build Quarry 1,将钢材仓库升级至3级
LC_chapter_task_34_desc,Build Marble Storehouse,将石材仓库升级至3级
LC_chapter_task_35_desc,Upgrade any Hero to lv. 11,加入或者创建一个联盟!
LC_chapter_task_36_desc,Upgrade Lumber Mill 1 to Lv. 3,"联盟聊天,认识新朋友!"
LC_chapter_task_37_desc,Upgrade Steel Plant 1 to Lv. 3,将指挥所升级至4级
LC_chapter_task_38_desc,Heal for 5 times for the heroes,建造部队集合点 3
LC_chapter_task_39_desc,Upgrade Farm 1 to Lv. 3,将部队集合点 1升级至4级
LC_chapter_task_40_desc,Upgrade Quarry 1 to Lv. 3,提升任意英雄等级到16级
LC_chapter_task_41_desc,Upgrade Lumber Yard to Lv. 3,建造圣剑雕像
LC_chapter_task_42_desc,Upgrade Food Storehouse to Lv. 3,建造坚盾雕像
LC_chapter_task_43_desc,Upgrade Steel Yard to Lv. 3,将伐木场 1升级至4级
LC_chapter_task_44_desc,Upgrade Marble Storehouse to Lv. 3,将炼钢厂 1升级至4级
LC_chapter_task_45_desc,Build Living Quarters 1,将农场 1升级至4级
LC_chapter_task_46_desc,Join or create and Alliance! ,将采石场 1升级至4级
LC_chapter_task_47_desc,"Alliance chat,  make new friends! ",与玩家进行1次战斗
LC_chapter_task_48_desc,Upgrade the Townhall to Lv.  4,将木材仓库升级至4级
LC_chapter_task_49_desc,Build Army Camp 3,将食物仓库升级至4级
LC_chapter_task_50_desc,Upgrade Army Camp 3 to Lv.  4,将钢材仓库升级至4级
LC_chapter_task_51_desc,Upgrade any Hero to lv. 16,将石材仓库升级至4级
LC_chapter_task_52_desc,Build Workshop of War,建造1个要塞
LC_chapter_task_53_desc,Upgrade Lumber Mill 1 to Lv. 4,参与1场攻城战(城市)
LC_chapter_task_54_desc,Upgrade Steel Plant 1 to Lv. 4,将民房 1升级至4级
LC_chapter_task_55_desc,Upgrade Farm 1 to Lv. 4,将指挥所升级至5级
LC_chapter_task_56_desc,Upgrade Quarry 1 to Lv. 4,建造旅行者驿站
LC_chapter_task_57_desc,Battle against other players once,将部队集合点 1升级至5级
LC_chapter_task_58_desc,Upgrade Lumber Yard to Lv. 4,提升任意英雄等级到21级
LC_chapter_task_59_desc,Upgrade Food Storehouse to Lv. 4,将伐木场 1升级至5级
LC_chapter_task_60_desc,Upgrade Steel Yard to Lv. 4,将炼钢厂 1升级至5级
LC_chapter_task_61_desc,Upgrade Marble Storehouse to Lv. 4,将农场 1升级至5级
LC_chapter_task_62_desc,Build a Stronghold,将采石场 1升级至5级
LC_chapter_task_63_desc,Take part in 1 siege battle(city),将圣剑雕像升级至5级
LC_chapter_task_64_desc,Upgrade Living Quarters 1 to Lv. 4,与玩家进行5次战斗
LC_chapter_task_65_desc,Upgrade the Townhall to Lv.  5,将木材仓库升级至5级
LC_chapter_task_66_desc,Build Windwell,将食物仓库升级至5级
LC_chapter_task_67_desc,Upgrade Army Camp 1 to Lv.  5,将钢材仓库升级至5级
LC_chapter_task_68_desc,Upgrade any Hero to lv. 21,将石材仓库升级至5级
