KEY,EN,CN,,,,
LC_hero_002,,鹦鹉船长,,,,
LC_hero_002_description,,"<color=#ffa500ff>流浪者</color>\n我是杰克船长. 独此一家, 如假包换. ",,,,
LC_hero_003,,迷糊法师,,,,
LC_hero_003_description,,"<color=#ffa500ff>流浪者</color>\n什么?原来一直在我手上啊, 小火苗. ",,,,
LC_hero_009,,小小浪客,,,,
LC_hero_009_description,,"<color=#ffa500ff>流浪者</color>\n魔性的不只是我的发型, 还有我的剑. ",,,,
LC_hero_004,,小破孩,,,,
LC_hero_004_description,,<color=#ffa500ff>流浪者</color>\n你抓得到我吗?大笨蛋,,,,
LC_hero_008,,钢铁,,,,
LC_hero_008_description,,"<color=#ffa500ff>流浪者</color>\n来自岛外某皇室竞技场的勇士. 身材魁梧, 走起来叮叮当当. 逢人就说: ”我是钢铁勇士, 为了皇室的荣誉. ”",,,,
LC_hero_206,,萝卜精灵,,,,
LC_hero_206_description,,<color=#ffa500ff>精灵</color>\n有种你再说一遍?,,,,
LC_hero_211,,树灵,,,,
LC_hero_211_description,,<color=#ffa500ff>精灵</color>\n我想要看看外面的世界! 但是穿什么去好呢?,,,,
LC_hero_209,,森林法官,,,,
LC_hero_209_description,,"<color=#ffa500ff>精灵</color>\n任何破坏森林的行为都是不被允许的, 因此你被驱逐出境. ",,,,
LC_hero_201,,森林游侠,,,,
LC_hero_201_description,,<color=#ffa500ff>精灵</color>\n守卫森林是我的职责所在. ,,,,
LC_hero_205,,暗鳞忍者,,,,
LC_hero_205_description,,<color=#ffa500ff>精灵</color>\n…,,,,
LC_hero_212,,梦梦,,,,
LC_hero_212_description,,<color=#ffa500ff>精灵</color>\n我还没睡醒呢. ,,,,
LC_hero_103,,石拳勇士,,,,
LC_hero_103_description,,<color=#ffa500ff>矮人</color>\n放马过来吧! 一切罪恶之物. ,,,,
LC_hero_106,,小短腿,,,,
LC_hero_106_description,,<color=#ffa500ff>矮人</color>\n喵～oh不! 汪汪! ,,,,
LC_hero_011,,魔王之女,,,,
LC_hero_011_description,,<color=#ffa500ff>流浪者</color>\n为什么大家就不能和睦相处呢?,,,,
LC_hero_101,,火枪手,,,,
LC_hero_101_description,,"<color=#ffa500ff>矮人</color>\n枪械才是未来, 我的朋友! ",,,,
LC_hero_108,,亚马逊角斗士,,,,
LC_hero_108_description,,"<color=#ffa500ff>矮人</color>\n人不犯我, 我不犯人. ",,,,
LC_hero_105,,猪猪妹,,,,
LC_hero_105_description,,"<color=#ffa500ff>矮人</color>\n撞翻他, Papi! ",,,,
LC_hero_001,,绝命毒师,,,,
LC_hero_001_description,,"<color=#ffa500ff>流浪者</color>\n相信我, 不会有副作用的. ",,,,
LC_hero_111,,盲童,,,,
LC_hero_111_description,,"<color=#ffa500ff>矮人</color>\n不要再靠近了, 我只是想保护自己. ",,,,
LC_hero_204,,火烛祭司,,,,
LC_hero_204_description,,<color=#ffa500ff>精灵</color>\n蓝焰净化一切! ,,,,
LC_hero_012,,斧之意志,,,,
LC_hero_012_description,,<color=#ffa500ff>流浪者</color>\n刀剑?那是小姑娘才会玩的东西! ,,,,
LC_hero_110,,绿发小魔女,,,,
LC_hero_110_description,,"<color=#ffa500ff>矮人</color>\n不是我针对谁, 在座的各位…",,,,
LC_hero_104,,粉巨人,,,,
LC_hero_104_description,,<color=#ffa500ff>矮人</color>\n守护我所热爱的一切! ,,,,
LC_hero_203,,附魔兔,,,,
LC_hero_203_description,,"<color=#ffa500ff>精灵</color>\n注意你的言辞, 不然就闭嘴. ",,,,
LC_hero_210,,精灵公主,,,,
LC_hero_210_description,,"<color=#ffa500ff>精灵</color>\n不管美丽还是丑陋, 每个女孩都是公主. ",,,,
LC_hero_109,,魔法小射手,,,,
LC_hero_109_description,,<color=#ffa500ff>矮人</color>\n箭无虚发! ,,,,
LC_hero_202,,吧啦啦魔法精灵,,,,
LC_hero_202_description,,"<color=#ffa500ff>精灵</color>\n唉, 世上最无聊的事就是治疗. ",,,,
LC_hero_010,,鳞甲守卫,,,,
LC_hero_010_description,,"<color=#ffa500ff>流浪者</color>\n绝绝绝, 绝对不辱使命, 长官! ",,,,
