KEY,EN,CN
LC_city_capital_desc,"(Only can be occpied by an Alliance) Center City of \n{0}:  All members of the Alliance which occupied this city can get resource reward,  get resource output bonus,  can send troops to defense and get healed here,  time of building strongholds will reduce 30%,  and the troop line of all the players of the world can be seen. ","(仅联盟可占) {0}的中心城市.\n占领城市后, 奖励通过邮件发放给联盟所有成员. 占领期间, 联盟获得资源产量加成, 并可以派遣部队在城市进行防守和治疗. 此外, 联盟在全世界要塞建造时间减少30%, 全世内所有玩家移动可见."
LC_city_capital_desc_outside,Edge City of {0}:  get more golds in tribute by occupying this tile. ,"{0}的城市边缘, 占领后能在贡品奖励中获得更多的金币. "
LC_city_state_desc,"(Only can be occpied by an Alliance) Center City of \n{0}:  All members of the Alliance which occupied this city can get resource reward,  get resource output bonus,  can send troops to defense and get healed here,  time of building strongholds in its State will reduce 30%,  and the troop line of all the players of its State can be seen. ","(仅联盟可占) {0}的中心城市.\n占领城市后, 奖励通过邮件发放给联盟所有成员. 占领期间, 联盟获得资源产量加成, 并可以派遣部队在城市进行防守和治疗. 此外, 联盟在本国以内要塞建造时间减少30%, 国内所有玩家移动可见."
LC_city_state_desc_outside,Edge City of {0}:  get more golds in tribute by occupying this tile. ,"{0}的城市边缘, 占领后能在贡品奖励中获得更多的金币. "
LC_city_zone_desc,"(Only can be occpied by an Alliance) Center City of \n{0}:  All members of the Alliance which occupied this city can get resource reward,  get resource output bonus,  can send troops to defense and get healed here,  time of building strongholds in its County will reduce 30%,  and the troop line of all the players of its County can be seen. ","(仅联盟可占) {0}的中心城市.\n占领城市后, 奖励通过邮件发放给联盟所有成员. 占领期间, 联盟获得资源产量加成, 并可以派遣部队在城市进行防守和治疗. 此外, 联盟在本郡以内要塞建造时间减少30%, 郡内所有玩家移动可见."
LC_city_zone_desc_outside,Edge City of {0}:  get more golds in tribute by occupying this tile. ,"{0}的城市边缘, 占领后能在贡品奖励中获得更多的金币. "
LC_city_normal_desc,"(Only can be occpied by an Alliance) City \n:  All members of the Alliance which occupied this city can get resource reward,  get resource output bonus,  can send troops to defense and get healed here. ","(仅联盟可占) 普通的城市.\n占领城市后, 奖励通过邮件发放给联盟所有成员. 占领期间, 联盟获得资源产量加成, 并可以派遣部队在城市进行防守和治疗."
LC_city_normal_desc_outside,Edge City:  get more golds in tribute by occupying this tile. ,"普通的城市边缘, 占领后能在贡品奖励中获得更多的金币. "
LC_map_1,Mighty Highland,月之国
LC_map_2,Vast Shield,风之国
LC_map_3,Storm Beach,山之国
LC_map_4,Wandering Fields,云之国
LC_map_5,Calm Meadow,日之国
LC_map_6,Blueberry Wilds,虹之国
LC_map_7,Ocean Green,水之国
LC_map_8,Ablaze Sword,森之国
LC_map_9,Land of Glutton,藏宝之境
LC_map_10,Realm of Chaos,黄金国度
LC_map_11,Forbidden Dragon District,神圣龙域
LC_map_1_zone_1,Ice County,冰雕郡
LC_map_1_zone_2,Drums County,鼓点郡
LC_map_1_zone_3,Crossbow County,弩弓郡
LC_map_1_zone_4,Rose County,玫瑰郡
LC_map_1_zone_5,Hope County,希望郡
LC_map_1_zone_6,Art County,艺术郡
LC_map_1_zone_7,Temper county,锤炼郡
LC_map_1_zone_8,Stamps county,邮票郡
LC_map_2_zone_1,Noise county,噪音郡
LC_map_2_zone_2,Green grass county,绿草郡
LC_map_2_zone_3,Copper hammer county,铜锤郡
LC_map_2_zone_4,Coconut county,椰子郡
LC_map_2_zone_5,Warm wind county,暖风郡
LC_map_2_zone_6,Jug county,酒壶郡
LC_map_2_zone_7,Icebu County,冰鞋郡
LC_map_2_zone_8,Ancient bell county,古钟郡
LC_map_3_zone_1,Lee tower county,斜塔郡
LC_map_3_zone_2,Farmer County,农夫郡
LC_map_3_zone_3,Match county,火柴郡
LC_map_3_zone_4,Lightning County,雷电郡
LC_map_3_zone_5,Hot tea county,热茶郡
LC_map_3_zone_6,Cold wind county,寒风郡
LC_map_3_zone_7,Lake County,湖水郡
LC_map_3_zone_8,Yuhua County,雨花郡
LC_map_4_zone_1,Vampire County,吸血郡
LC_map_4_zone_2,Foggy County,迷雾郡
LC_map_4_zone_3,Sunshine county,日光郡
LC_map_4_zone_4,Museum state,博物郡
LC_map_4_zone_5,Jinshan County,金山郡
LC_map_4_zone_6,Monuments,古迹郡
LC_map_4_zone_7,Gold County,金丝郡
LC_map_4_zone_8,Ice County,寒冰郡
LC_map_5_zone_1,Grape county,葡萄郡
LC_map_5_zone_2,Old tree county,古树郡
LC_map_5_zone_3,Hua Yi County,花衣郡
LC_map_5_zone_4,Never County,不夜郡
LC_map_5_zone_5,Chessboard County,棋盘郡
LC_map_5_zone_6,Snake county,蛇郡
LC_map_5_zone_7,Egg County,鸡蛋郡
LC_map_5_zone_8,Animal County,动物郡
LC_map_6_zone_1,Bat county,蝙蝠郡
LC_map_6_zone_2,Crow County,乌鸦郡
LC_map_6_zone_3,Falcon County,猎鹰郡
LC_map_6_zone_4,Tornado County,龙卷风郡
LC_map_6_zone_5,Mural County,壁画郡
LC_map_6_zone_6,Jasmine county,茉莉郡
LC_map_6_zone_7,Saint witch county,圣巫郡
LC_map_6_zone_8,Lion County,狮子郡
LC_map_7_zone_1,Financial county,金融郡
LC_map_7_zone_2,Holy county,圣医郡
LC_map_7_zone_3,Spring County,春暖郡
LC_map_7_zone_4,Fruit county,水果郡
LC_map_7_zone_5,Day penalty county,天罚郡
LC_map_7_zone_6,Ronghu County,蓉湖郡
LC_map_7_zone_7,Tin County,锡都郡
LC_map_7_zone_8,Porcelain county,瓷都郡
LC_map_8_zone_1,Rain County,雨都郡
LC_map_8_zone_2,Fine snow county,细雪郡
LC_map_8_zone_3,Taodu County,陶都郡
LC_map_8_zone_4,Stone Fort County,石堡郡
LC_map_8_zone_5,Salt County,盐郡
LC_map_8_zone_6,Football county,足球郡
LC_map_8_zone_7,Sunset county,夕阳郡
LC_map_8_zone_8,Zhongsheng County,钟声郡
LC_map_9_zone_1,Spirits County,烈酒郡
LC_map_9_zone_2,Liege County,烈日郡
LC_map_9_zone_3,Chill county,寒心郡
LC_map_9_zone_4,Hungry county,饥饿郡
LC_map_9_zone_5,Cracked county,裂口郡
LC_map_9_zone_6,Spring County,泉郡
LC_map_9_zone_7,Ice County,冰雪郡
LC_map_9_zone_8,Jiangshui County,江水郡
LC_map_10_zone_1,Lingfeng County,凌风郡
LC_map_10_zone_2,Qingyun County,青云郡
LC_map_10_zone_3,Plum blossom county,梅花郡
LC_map_10_zone_4,Warrior county,武士郡
