KEY,EN,CN
LC_normal_gem_80,一把钻石,一把钻石
LC_normal_gem_500,一大把钻石,一堆钻石
LC_normal_gem_1200,一堆钻石,一袋钻石
LC_normal_gem_2500,一大堆钻石,一大袋钻石
LC_normal_gem_6500,一大桶钻石,一箱钻石
LC_normal_gem_14000,一大箱钻石,一大桶钻石
LC_daily_gift_1,限量巨龙宝箱1,限量巨龙宝箱1
LC_daily_gift_3,限量巨龙宝箱2,限量巨龙宝箱2
LC_daily_gift_6,限量巨龙宝箱3,限量巨龙宝箱3
LC_gold_by_gem_1,一把金币,一堆金币
LC_gold_by_gem_2,一堆金币,一袋金币
LC_gold_by_gem_3,一大箱金币,一箱金币
LC_month_card_1,Month card for 30 Days,超值月卡(30天)
LC_title_product_gem,钻石,钻石
LC_title_product_gold,金币,金币
LC_title_daily_gift,巨龙宝箱,巨龙宝箱
LC_title_month_card,月卡,月卡
LC_title_shop,Shop,商店
LC_desc_shop,"欢迎来到商店, \n          超多宝物等您挑选! ","欢迎来到商店, \n          超多宝物等您挑选! "
LC_daily_gift_1_gem,一把钻石,一把钻石
LC_daily_gift_2_gem,一盘钻石,一盘钻石
LC_daily_gift_3_gem,一堆钻石,一堆钻石
LC_gold_by_gem_short,"钻石不足, 交易失败","钻石不足, 交易失败"
LC_gold_by_gem_apply,,"您是否确认消耗<color=#FFFFFF><material=""fzcyGBK_outline_7b5200"">{0}钻石</color></material>购买<color=#FFFFFF><material=""fzcyGBK_outline_7b5200"">{1}金币</color></material>?"
LC_month_card_direct_gem,Bouns Immediately,立即获得
LC_month_card_daily_gem,Daily Bouns,每日奖励
LC_month_card_daily_chest_free_1,{0},{0}
LC_month_card_daily_chest_free_2,Daily Bouns,每日领取
LC_month_card_second_build_queue,Unlock 2nd buiding queue for 30 days,解锁第二建筑队列30天
LC_month_card_bottom_notice,Note: You must collect the rewards the day you receive them. They don't carry over. ,"注意: 奖励务必当日领取, 次日不累计! "
LC_month_card_value_text,value,超值
LC_month_card_value_number,700%,700%
LC_month_card_collect_title,Daily Bouns,每日奖励
LC_month_card_remaining,Remaining: {0},有效期剩余{0}
LC_month_card_renew,Add 30 Days,续费(30天)
LC_month_card_collect_buttom,collect,领取
LC_confirm_buy_chest,,你是否确认花费{0}钻石购买{1}?
LC_smart_gift_hero_collect,,您获得了{0}
LC_shop_have_bought,,已购买
LC_shop_have_collected,,已领取
LC_shop_buy_tips,,您收到了{0}
LC_shop_sold_out,,已售罄
LC_shop_have_bought_tips,,您已购买过
LC_shop_have_collected_tips,,您已领取过
LC_button_first_pay,,首充
LC_button_first_pay_jump_shop,,前往充值
