KEY,EN,CN
LC_chapter_title_1,Chapter 1,第一章
LC_chapter_title_2,Chapter 2,第二章
LC_chapter_title_3,Chapter 3,第三章
LC_chapter_title_4,Chapter 4,第四章
LC_chapter_title_5,Chapter 5,第五章
LC_chapter_title_6,Chapter 6,第六章
LC_chapter_title_7,Chapter 7,第七章
LC_chapter_title_8,Chapter 8,第八章
LC_chapter_title_9,Chapter 9,第九章
LC_chapter_title_10,Chapter 10,第十章
LC_chapter_title_11,Chapter 11,第十一章
LC_chapter_title_12,Chapter 12,第十二章
LC_fte_normal_11_1_left,LC_fte_normal_11_1_left,"救命 ! 外来者 , 你一定要帮助我 . "
LC_fte_normal_21_1_left,LC_fte_normal_21_1_left,"公主被掳走 , 恶魔的爪牙抢占了绝大多数土地 , 之前友好的各个国家也都封闭自保 . "
LC_fte_normal_31_1_left,LC_fte_normal_31_1_left,"现在只有你可以帮我了 , 让我加入吧 . 做个向导也好 . "
LC_fte_normal_71_1_left,LC_fte_normal_71_1_left,地块边缘变为亮绿色表示已被我们占领 . 占领地块可以提升我们家园的实力值 . 并且. . . . . .
LC_fte_normal_81_1_left,LC_fte_normal_81_1_left,HOHO ! 占领地块还能获得宝物 ! 
LC_fte_normal_91_1_left,LC_fte_normal_91_1_left,那个宝箱里会有什么呢 ?
LC_fte_normal_121_1_left,LC_fte_normal_121_1_left,"这张英雄卡牌可以提升我的等级 , 很不错的宝物 . "
LC_fte_normal_131_1_left,LC_fte_normal_131_1_left,我们还可以在占领的地块上建造建筑 . 
LC_fte_normal_141_1_left,LC_fte_normal_141_1_left,"你可能注意到了 , 我们还可以造其他的建筑 . 但这需要你占领更多的地块 . "
LC_fte_normal_151_1_left,LC_fte_normal_151_1_left,"占领地块的好处多多 , 赶快行动起来 , 发展壮大自己的家园吧 . "
LC_fte_force_1_1_left,,提升实力值等级可以获得进阶奖励并解锁更高级的指挥所 .
LC_fte_choose_state_1,,作为冒险者的我们来到了一个神秘的岛屿 .
LC_fte_choose_state_2,,这里似乎有着奇异的国家和物种 .
LC_fte_choose_state_3,,"那么 , 我们要在哪里登陆呢 ?"
LC_fte_battle_animation_auto_desc,,您是否需要开启每次战斗后自动播放战斗动画的功能? 您也可以在右侧功能栏中更改设置. 
