KEY,EN,CN
LC_no_availiable_building,No available buildings \n please upgrade the Townhall. ,"没有可以建造的建筑, 请升级指挥所"
LC_resource_not_enough,Insufficient {0} ,{0}不足
LC_can_not_reach,You cannot march to non-adjacent tiles,不能行军至不相连的地块
LC_warning_confirm,Notice,通知
LC_warning_quit_alliance_title,Quit Alliance,退出联盟
LC_warning_quit_alliance_content,If you quit an Alliance you cannot create or join another Alliance for the following 24 hours,退出联盟会使你在24小时内不能加入或创建联盟
LC_warning_stop_recuit_title,Do you wish to cancel?,你要取消?
LC_warning_stop_recuit_content,The resources you've spent will not be back if you stop the healing now. ,立刻停止治疗不会返还你已花费的资源
LC_warning_unlock_troop_slot,You must first upgrade {1} to Lv.  {0},需要先将 {1} 提升至{0}级
LC_warning_cancel_upgrade_content,Are you sure you wish to cancel the upgrade?,是否确认取消建筑升级? 取消升级将只返还80%资源.
LC_warning_search_alliance_no_content,There are currently no Alliances open to join\n Go and begin your journey to the top on your own! ,暂时没有开放加入的联盟\n快去自立山头吧! 
LC_warning_title_net,Network,网络
LC_warning_net_problem,"Network connection issue,  tap to try again! ","网络连接错误, 点击重试! "
LC_notice_title_warning,Notice,提示
LC_alliance_kickout_tip,Are you sure you wish to kick <color=#2FCBFFFF>{0}</color> out of the Alliance?,你确定要将<color=#2FCBFFFF>{0}</color>踢出联盟? 
LC_cancel_recruit,Cancel,取消治疗
LC_cancel_recruit_confirm,Do you really want to cancel the healing?,你是否真的想要取消治疗?取消后将返未用完的资源. 
LC_net_timeout,"The network has timed out,  please try again! ","网络超时, 请重试! "
LC_warning_relogin,"Disconnected from the server,  and going to reconnect! ","与服务器断开连接, 马上自动重新连接! "
LC_warning_already_in_troop,,该英雄已经在部队{0}中
LC_warning_troop_is_editing,,"部队正在配置, 请您耐心等待"
LC_warning_troop_distance_300,,"单次移动距离大于300, 无法派出该部队. "
LC_building_under_construction,,"建筑正在建造中, 请耐心等待. "
LC_building_under_upgrading,,"建筑正在升级中, 请耐心等待. "
LC_tips_map_data_requesting,,"由于网络原因,请求地块数据较慢,请稍后."
LC_troop_at_tile_all,,没有空闲部队或空闲部队均已在此地块上
